pool,block_number,block_hash,block_time,log_index,tx_hash,sender,recipient,amount0,amount1,sqrt_price_x96,liquidity,price,tick
mypool,35852091,0x7e47fefa359a0594bb079153737a08fac4ade2ebc6945be9e0867db94dd52fd4,1667776172,3,0x7e47fefa359a0594bb079153737a08fac4ade2ebc6945be9e0867db94dd52fd4,sender,recipient,-2.4523762574256542,100.0,503447350392847148812927007057,0,40378385647108.625,36984
mypool,35852817,0xb8d27115d127774f221a47c5f013eb7d40473ae9de4ad1b375080195afa50edc,1667776385,3,0xb8d27115d127774f221a47c5f013eb7d40473ae9de4ad1b375080195afa50edc,sender,recipient,-2.4512375837171057,100.0,503564256303864858708180248350,0,40397140418697.34,36989
mypool,35853673,0x3080742afc8cc9b7540cbd80f95cbbec8f4b0b9ad4d1b5a1444026ad3b8e9eb5,1667776635,3,0x3080742afc8cc9b7540cbd80f95cbbec8f4b0b9ad4d1b5a1444026ad3b8e9eb5,sender,recipient,-0.49011094587876247,20.0,503587637486068400687230896608,0,40400891895561.67,36990
mypool,35853702,0x943ae76964769b2152bf28822d78c9bfd95b92d334c18e448909aff18a55dd60,1667776643,3,0x943ae76964769b2152bf28822d78c9bfd95b92d334c18e448909aff18a55dd60,sender,recipient,-0.490065437051907,20.0,503611018668271942666281544866,0,40404643546608.195,36991
mypool,35853726,0x23d8bd9b6fa11e4821a6ea8237f520d01a47cbab00fc4647dae2963665614c8c,1667776651,3,0x23d8bd9b6fa11e4821a6ea8237f520d01a47cbab00fc4647dae2963665614c8c,sender,recipient,-0.49001993456328125,20.0,503634399850475484645332193124,0,40408395371836.914,36992
mypool,35854643,0x8c4d8fc55c7da892e29dd8284971abc94ccb91b4e581109a61b91fe1b173fc56,1667776938,3,0x8c4d8fc55c7da892e29dd8284971abc94ccb91b4e581109a61b91fe1b173fc56,sender,recipient,-1.475910107638406,60.25,503704835661863654857222271003,0,40419698798065.69,36995
mypool,35854781,0x4c15f4e3b13395310931a356d2bcd3d81fe4c7027130d802edd7031b6980335d,1667776989,8,0x4c15f4e3b13395310931a356d2bcd3d81fe4c7027130d802edd7031b6980335d,sender,recipient,-0.4898374195432713,20.0,503728216844067196836272919261,0,40423451322200.47,36995
mypool,35854800,0xee105d713f20dc7591bb716c71534e0fa36f86c20a380c77837e6c668deea195,1667776997,3,0xee105d713f20dc7591bb716c71534e0fa36f86c20a380c77837e6c668deea195,sender,recipient,-0.4897919488072922,20.0,503751598026270738815323567519,0,40427204020517.445,36996
mypool,35854816,0x002c990a592a1b03bfea14ce6b7eb9ab901d6bd16f4e87626f8be12650501a9b,1667777002,31,0x002c990a592a1b03bfea14ce6b7eb9ab901d6bd16f4e87626f8be12650501a9b,sender,recipient,-2.879048464768305,117.6,503892670697110753165542616142,0,40449849992215.51,37002
mypool,35854826,0x909d909f37793116de83e0019ec349d808fad2c9d8a6be1caf254f8a3d6691be,1667777005,3,0x909d909f37793116de83e0019ec349d808fad2c9d8a6be1caf254f8a3d6691be,sender,recipient,-0.48947091919155195,20.0,503917478278426811945908137358,0,40453832934228.53,37003
mypool,35855013,0x5e29648c151c796dc33d4a3d95996ad682be4a07cd9dcf576e6e77b612623850,1667777069,3,0x5e29648c151c796dc33d4a3d95996ad682be4a07cd9dcf576e6e77b612623850,sender,recipient,-0.4894227287936814,20.0,503942285859742870726273658574,0,40457816072324.43,37004
mypool,35855071,0x3aaf33523de6184e6cece55ef4428714df24f5c85a18e43875bb8bdf60eeefce,1667777085,3,0x3aaf33523de6184e6cece55ef4428714df24f5c85a18e43875bb8bdf60eeefce,sender,recipient,-0.48937454551227083,20.0,503967093441058929506639179790,0,40461799406503.2,37005
mypool,35855089,0x6d77c085fe21f77e97cdc0a608717c9252208bb9d0a987d19162588c3a5f2f72,1667777094,3,0x6d77c085fe21f77e97cdc0a608717c9252208bb9d0a987d19162588c3a5f2f72,sender,recipient,-0.489326369345919,20.0,503991901022374988287004701006,0,40465782936764.86,37006
mypool,35855115,0x4b3ac772a84a3ee640de9861288b73461d9b96d6ad310539a4036f0781e80e66,1667777102,3,0x4b3ac772a84a3ee640de9861288b73461d9b96d6ad310539a4036f0781e80e66,sender,recipient,-0.4892782002932252,20.0,504016708603691047067370222222,0,40469766663109.39,37007
mypool,35855136,0x63ce18e2d7d3ec69864c2bc7c7b5c5e1632142202d662908e45e6297ce0b3124,1667777110,3,0x63ce18e2d7d3ec69864c2bc7c7b5c5e1632142202d662908e45e6297ce0b3124,sender,recipient,-0.489230038352789,20.0,504041516185007105847735743438,0,40473750585536.805,37008
